F1,F2,Class,F3,F4
14.13131283,34.15883809,Tumor,BT_S2,Immune
-12.97336392,3.007723248,Tumor,BT_S2,Immune
14.86236796,38.20121749,Tumor,BT_S2,Immune
7.802711875,14.88023059,Tumor,BT_S2,Immune
-12.66902494,4.475190087,Tumor,BT_S2,Immune
-3.660881351,-1.745610291,Tumor,BT_S2,Immune
-25.53244683,20.68477567,Tumor,BT_S2,Immune
-15.11053429,3.856591577,Tumor,BT_S2,Immune
5.054406898,23.60296308,Tumor,BT_S2,Immune
1.413763218,-47.71849187,Tumor,BT_S2,Neoplastic
8.612151607,39.35682526,Tumor,BT_S2,Immune
-14.03261394,-9.397873857,Tumor,BT_S2,Immune
16.39271623,37.53517284,Tumor,BT_S2,Immune
10.58104961,40.14081049,Tumor,BT_S2,Immune
10.53929117,38.4380593,Tumor,BT_S2,Immune
5.921573588,35.11523195,Tumor,BT_S2,Immune
7.803899634,38.23997891,Tumor,BT_S2,Immune
-27.52671138,22.07074064,Tumor,BT_S2,Immune
-15.48707239,9.153562663,Tumor,BT_S2,Immune
8.278586902,43.78288393,Tumor,BT_S2,Immune
11.73546464,35.95143246,Tumor,BT_S2,Immune
-4.147035449,-6.732830739,Tumor,BT_S2,Immune
4.678681624,35.76762134,Tumor,BT_S2,Immune
14.51962078,27.5260942,Tumor,BT_S2,Immune
8.405306267,39.63027013,Tumor,BT_S2,Immune
12.64812522,23.91837235,Tumor,BT_S2,Immune
-28.07666592,20.07515634,Tumor,BT_S2,Immune
-2.671342813,11.80905494,Tumor,BT_S2,Immune
-3.106134842,8.548065555,Tumor,BT_S2,Immune
10.22001564,13.27005113,Tumor,BT_S2,Immune
25.02031378,27.2948661,Periphery,BT_S2,Immune
28.07825762,30.69367896,Periphery,BT_S2,Immune
26.74140449,40.7059602,Periphery,BT_S2,Immune
38.55661683,36.14118151,Periphery,BT_S2,Immune
40.48042371,39.28541976,Periphery,BT_S2,Immune
21.38287356,37.54564182,Periphery,BT_S2,Immune
37.28883655,29.64559738,Periphery,BT_S2,Immune
40.843913,34.30632958,Periphery,BT_S2,Immune
31.06129498,23.64496038,Periphery,BT_S2,Immune
